,V:C Ratio,Goblet Cells/100 epi,IELs/100 epi,Neutro/100 epi,MIC/2500um2,neutro/2500um2,eosino/2500um2
GLP 3_6m,-0.190543454936925,0.037193782535465,0.089393086194472,-0.082610389523636,0.188903989298455,-0.024928997244093,-0.022322842748755
GLP 9m,0.131885870459627,-0.161505028071883,-0.271189076522352,-0.230723667670514,0.107444897108595,-0.109428968513937,-0.035783332672332
Leptin 3_6m,0.023392821535145,0.127775457848561,-0.057175019623966,-0.115480346411945,0.106170676358684,-0.131108809790809,-0.060105869531932
Leptin 9m,0.106849894932727,-0.277607877888094,-0.06668816288128,0.148800672971378,-0.193602270936306,0.125511953120227,0.292611726986213
Cytokine IP-10 3_6m,-0.179522226265354,0.025558033325947,0.013287527825516,-0.138721745076147,-0.035626412943746,0.202850981807395,-0.090765622886123
Cytokine IP-10 9m,0.145052413736502,0.067005962406899,-0.045340774795774,0.097971019961057,-0.009992380677598,0.105789747593097,0.113814785765909
Cytokine IL-10 3_6m,-0.177879393056355,-0.135030872425052,-0.164906806424961,0.084217606345611,-0.278170296444923,0.172851251455784,0.238335315168535
Cytokine IL-10 9m,-0.191147037304872,-0.044580296730911,-0.185859775845803,0.090939259699783,-0.371881845910595,0.12889826506559,0.281682305967466
Cytokine IFN-? 3_6m,-0.130621780926307,-0.086543803338367,-0.08264793127036,-0.147815554480618,-0.261411658924903,-0.148101944674315,0.187738836254658
Cytokine IFN-? 9m,-0.134843040533333,-0.08626137309243,-0.193597631953177,0.232741485279829,-0.386398714238754,0.270781486484067,0.37724865794694
Cytokine IL-8 3_6m,-0.125179491462436,-0.07600633842246,-0.152788984391185,0.111955606567663,-0.304361065151324,0.126613317716912,0.316156236205376
Cytokine IL-8 9m,-0.157810559296978,-0.05048244783559,-0.229713193854667,0.184763359323824,-0.343911427066413,0.177374918299359,0.376448762544581
Cytokine IL-1-ß 3_6m,-0.117168209155875,-0.098062297664345,-0.093355621500399,-0.140091857624551,-0.339634918717727,-0.133793060179165,0.210246053672565
Cytokine IL-1-ß 9m,0.057270216764655,0.049764554654944,-0.076973744994338,-0.120757382957013,0.218284346456218,-0.109043121224188,-0.151170704196951
Cytokine IL-6 3_6m,-0.088410933208228,-0.051211005594479,-0.187920302179532,-0.116901079155748,-0.104902682974199,-0.11276257638002,0.084818002980898
Cytokine IL-6 9m,-0.132142863731337,-0.065990332346521,-0.217540804286442,0.23312146733284,-0.375155535613641,0.238708671150359,0.38961074048904
Cytokine IL-12 (p70) 3_6m,-0.049434654270511,-0.046016866028582,-0.012904386925045,-0.115263790320912,-0.18859037766524,-0.11293522068376,0.186148880916517
Cytokine IL-12 (p70) 9m,-0.028616384216746,-0.059830787681479,-0.191602466188194,-0.11813233635954,-0.059806553635637,-0.1164841717872,-0.0564892662826
Cytokine TNF-a 3_6m,-0.157629403402327,-0.100810974781218,-0.186010085269857,0.218743259715855,-0.40684714136657,0.238250895365016,0.368901337017655
Cytokine TNF-a 9m,-0.186091252381174,-0.101412685012662,-0.203333233339843,0.183727471969467,-0.44863199987479,0.188626624321882,0.326018941046969
Cytokine MCP-1 3_6m,-0.186573032906246,-0.235233144074352,-0.140835118683847,0.27573838007657,-0.336380949380064,0.330456627959484,0.290238363670112
Cytokine MCP-1 9m,0.119499104400773,-0.033458517315815,-0.228695570095472,0.254349759527833,-0.228820518539966,0.248830314608661,0.3262221001191
Hemoglobin 3_6m,-0.207721939295125,-0.058839042045455,0.280544053543868,0.146398816659407,0.194759823888016,-0.094717864253478,-0.185602549878792
Hemoglobin 9m,-0.158805534902331,0.040019459086605,0.048229615398454,0.073355356615397,-0.183159719189046,-0.296877199382622,-0.144351860949432
Alpha-1 Acid Glycoprotein (AGP) 3_6m,0.071971197448988,0.156935135582343,-0.022790805110191,-0.048405871617955,0.044942059536168,-0.055115375256128,0.099445067355252
Alpha-1 Acid Glycoprotein (AGP) 9m,-0.300279064465442,0.332153774341126,-0.163162934140368,0.062431128717885,-0.02874406002181,0.197799563621947,0.324177618349365
Ferritin 3_6m,-0.049830246063964,0.004572010403607,0.193889202683983,-0.140958932069731,-0.009843193633905,-0.115365983432074,-0.090765854526155
